,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,$34530,$7625,(73/8/16/10/21),$4567,$946,(8/0/2/1/2),$4053,$1054,(9/0/3/2/2),$3326,$919,(11/0/2/2/3),$4210,$1253,(10/2/4/2/3),$7322,$1414,(13/2/3/1/4),$6084,$1219,(11/2/2/1/4),$4966,$817,(11/2/0/1/3),
	,week-32,$28486,$3936,(25/7/16/8/14),$2406,$374,(2/1/1/1/1),$2647,$414,(2/1/1/1/2),$3555,$459,(3/1/2/1/1),$3877,$568,(3/1/2/2/3),$6286,$881,(5/1/4/2/2),$5978,$713,(6/1/3/0/3),$3735,$524,(4/1/3/1/2),
	,week-33,$2661,$356,(3/1/2/1/1),$2661,$356,(3/1/2/1/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

11:00-12:00	,week-12,$81,$0,(21/1/4/2/5),$40,$0,(3/0/1/0/0),$15,$0,(3/0/1/1/0),$24,$0,(4/0/0/0/1),$0,$0,(4/0/1/1/1),$0,$0,(2/0/1/0/1),$0,$0,(3/1/0/0/0),$0,$0,(2/0/0/0/2),
	,week-13,$0,$0,(24/2/0/4/6),$0,$0,(3/0/0/0/1),$0,$0,(2/0/0/1/1),$0,$0,(3/0/0/1/1),$0,$0,(5/0/0/1/1),$0,$0,(5/0/0/0/2),$0,$0,(4/1/0/1/0),$0,$0,(2/1/0/0/0),
	,week-14,$64,$0,(21/3/2/3/8),$23,$0,(2/0/0/0/1),$0,$0,(3/0/1/1/1),$0,$0,(3/1/1/1/2),$0,$0,(3/0/0/1/1),$40,$0,(4/0/0/0/1),$0,$0,(4/1/0/0/1),$0,$0,(2/1/0/0/1),
	,week-15,$53,$0,(17/2/2/5/11),$0,$0,(1/0/0/0/1),$0,$0,(3/0/0/1/2),$31,$0,(3/0/0/1/2),$0,$0,(3/0/0/1/2),$21,$0,(3/0/0/0/2),$0,$0,(1/1/1/1/1),$0,$0,(3/1/1/1/1),
	,week-16,$14,$0,(17/6/6/3/9),$0,$0,(1/0/0/0/1),$0,$0,(1/1/0/0/1),$14,$0,(3/1/1/0/1),$0,$0,(4/1/1/1/2),$0,$0,(4/1/0/0/2),$0,$0,(3/1/2/2/1),$0,$0,(1/1/2/0/1),
	,week-17,$0,$0,(18/6/6/3/7),$0,$0,(1/0/0/0/1),$0,$0,(3/1/0/0/1),$0,$0,(3/1/0/1/1),$0,$0,(4/1/1/1/2),$0,$0,(4/1/1/0/1),$0,$0,(1/1/2/0/0),$0,$0,(2/1/2/1/1),
	,week-18,$0,$1,(21/5/7/3/7),$0,$0,(2/0/0/0/1),$0,$0,(3/1/0/0/1),$0,$0,(4/1/1/1/1),$0,$0,(3/1/1/1/2),$0,$0,(6/1/1/0/2),$0,$0,(1/1/2/0/0),$0,$1,(2/0/2/1/0),
	,week-19,$0,$5,(19/6/8/2/9),$0,$0,(1/0/1/0/1),$0,$0,(2/1/0/0/1),$0,$0,(3/1/1/0/1),$0,$0,(3/1/1/0/2),$0,$0,(4/1/1/0/1),$0,$0,(1/1/0/0/0),$0,$5,(5/1/4/2/3),
	,week-20,$0,$0,(16/3/11/1/5),$0,$0,(2/0/1/0/1),$0,$0,(2/0/1/0/1),$0,$0,(2/1/2/0/1),$0,$0,(3/1/3/0/1),$0,$0,(3/0/1/0/1),$0,$0,(2/1/2/1/0),$0,$0,(2/0/1/0/0),
	,week-21,$0,$3,(22/4/14/2/7),$0,$3,(2/0/1/0/2),$0,$0,(2/0/1/0/1),$0,$0,(4/1/1/0/1),$0,$0,(4/0/2/0/1),$0,$0,(5/1/2/0/1),$0,$0,(2/1/4/1/1),$0,$0,(3/1/3/1/0),
	,week-22,$0,$0,(18/6/13/1/7),$0,$0,(1/1/2/0/1),$0,$0,(2/0/1/0/0),$0,$0,(2/1/1/0/1),$0,$0,(3/1/2/0/2),$0,$0,(5/1/2/0/2),$0,$0,(2/1/3/1/0),$0,$0,(3/1/2/0/1),
	,week-23,$0,$0,(22/3/11/2/9),$0,$0,(2/0/1/0/1),$0,$0,(3/0/1/0/1),$0,$0,(3/0/1/0/1),$0,$0,(3/1/1/0/2),$0,$0,(6/1/3/0/1),$0,$0,(2/0/3/1/1),$0,$0,(3/1/1/1/2),
